,id,sex,sizeCurrent,sizeGroup,ageGroup,ageString,breedString,colorDetails,vocalLevel,sheddingLevel,energyLevel,exerciseNeeds,isSpecialNeeds,isCurrentVaccinations,isDeclawed,isHousetrained,isKidsOk,adultSexesOk,obedienceTraining,ownerExperience,newPeopleReaction,pictureCount,videoCount,adoptedDate,availableDate,length_of_stay
11982,10209238,Male,2.0,Small,Baby,6 Years 8 Months,Bombay / Domestic Short Hair / Mixed,,,,,,,,,,,,,,,1,0,2016-07-25 00:00:00+00:00,2016-07-01 00:00:00+00:00,24.0
12016,10209763,Male,,Small,Baby,6 Years 9 Months,Domestic Medium Hair / Tabby / Mixed (medium coat),Black Smoke w/White,,,,,False,True,False,True,True,,,,,6,0,2016-08-20 00:00:00+00:00,2016-06-04 00:00:00+00:00,77.0
12017,10209764,Male,,Small,Baby,6 Years 9 Months,Tuxedo / Domestic Short Hair / Mixed (medium coat),"Black w/white, grey",,,,,False,True,False,True,True,,,,,1,0,2016-08-06 00:00:00+00:00,2016-06-04 00:00:00+00:00,63.0
12018,10209765,Female,,Small,Baby,6 Years 9 Months,Tuxedo / Domestic Short Hair / Mixed (medium coat),"Black w/white, grey",,,,,False,True,False,True,True,,,,,1,0,2016-08-06 00:00:00+00:00,2016-06-04 00:00:00+00:00,63.0
12045,10210341,Female,,,,6 Years 11 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,,True,False,,,,,3,0,2017-06-09 00:00:00+00:00,2016-06-24 00:00:00+00:00,350.0
12046,10210347,Female,,,,6 Years 11 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,,True,True,,,,,1,0,2016-06-25 00:00:00+00:00,2016-06-24 00:00:00+00:00,1.0
12085,10210808,Male,3.0,,Young,8 Years,Siamese (short coat),,,,,,False,True,,True,True,,,,,2,0,2016-07-26 00:00:00+00:00,2016-07-12 00:00:00+00:00,14.0
12088,10210818,Female,3.200000047683716,,Young,8 Years,Siamese (short coat),,,,,,False,True,False,True,True,,,,,2,0,2016-07-26 00:00:00+00:00,2016-07-12 00:00:00+00:00,14.0
12164,10212768,Male,,Medium,Baby,9 Years 8 Months,Domestic Short Hair / Mixed (short coat),,Quiet,Moderate,Moderate,Moderate,False,,False,True,True,All,,,,3,0,2016-08-26 00:00:00+00:00,2016-06-28 00:00:00+00:00,59.0
12165,10212789,Male,,Medium,Baby,9 Years 8 Months,Domestic Short Hair / Mixed (short coat),,Quiet,Moderate,Moderate,Moderate,False,,False,True,True,All,,,Friendly,1,0,2016-08-21 00:00:00+00:00,2016-06-28 00:00:00+00:00,54.0
12167,10212828,Female,,Small,Baby,9 Years 8 Months,Dilute Tortoiseshell / Mixed (short coat),Dilute Torti,Quiet,Moderate,Moderate,Moderate,False,,False,True,True,All,,,Friendly,4,0,2016-10-10 00:00:00+00:00,2016-06-28 00:00:00+00:00,104.0
12168,10212830,Female,,Medium,Baby,9 Years 8 Months,Dilute Tortoiseshell / Mixed (short coat),Dilute Torti,Quiet,Moderate,Moderate,Moderate,False,,False,True,True,All,,,Friendly,1,0,2016-09-28 00:00:00+00:00,2016-06-28 00:00:00+00:00,92.0
12173,10212902,Male,,Small,Baby,9 Years 8 Months,Domestic Short Hair / Mixed (short coat),,,Moderate,Moderate,Moderate,False,,False,False,,,,,Cautious,2,0,2017-01-22 00:00:00+00:00,2017-01-20 00:00:00+00:00,2.0
12185,10213185,Male,7.0,Small,Young,10 Years,Siamese / Domestic Short Hair / Mixed (medium coat),Seal point Siamese,,,,,False,True,False,True,True,,,,,1,0,2016-07-29 00:00:00+00:00,2016-06-29 00:00:00+00:00,30.0
12186,10213186,Female,7.0,Small,Young,10 Years,Russian Blue / Domestic Short Hair / Mixed (short coat),Russian blue gray coloring,,,,,False,True,False,True,True,,,,,1,0,2016-07-29 00:00:00+00:00,2016-06-29 00:00:00+00:00,30.0
12187,10213191,Female,4.0,Small,Baby,9 Years 8 Months,Domestic Short Hair / Mixed (short coat),Black,,,,,False,True,False,True,True,,,,,1,0,2016-10-19 00:00:00+00:00,2016-06-29 00:00:00+00:00,112.0
12188,10213192,Female,4.0,Small,Baby,9 Years 8 Months,Domestic Medium Hair / Mixed (medium coat),White with black markings,,,,,False,True,False,True,True,,,,,1,0,2016-08-21 00:00:00+00:00,2016-06-29 00:00:00+00:00,53.0
12189,10213193,Male,4.0,Small,Baby,9 Years 8 Months,Domestic Short Hair / Mixed (short coat),White with gray markings,,,,,False,True,False,True,True,,,,,1,0,2016-10-19 00:00:00+00:00,2016-06-29 00:00:00+00:00,112.0
12242,10214459,Female,,,,6 Years 7 Months,Domestic Short Hair / Tortoiseshell / Mixed (short coat),,Lots,Moderate,Moderate,Low,False,True,False,True,True,All,,,Friendly,0,0,2016-06-28 00:00:00+00:00,2016-06-20 00:00:00+00:00,8.0
12250,10214618,Female,,Medium,Baby,6 Years 7 Months,Calico / Mixed (short coat),,,Moderate,Low,Low,False,True,False,True,True,All,,,Friendly,0,0,2016-06-28 00:00:00+00:00,2016-06-27 00:00:00+00:00,1.0
12285,10215167,Female,,Small,Young,8 Years 4 Months,Domestic Short Hair (short coat),Brown Tabby,,,,,False,True,,True,,,,,,4,0,2016-07-15 00:00:00+00:00,2016-06-29 00:00:00+00:00,16.0
12287,10215175,Female,,Small,Young,8 Years 4 Months,Domestic Short Hair (short coat),Brown Tabby,,,,,False,True,,True,,,,,,4,0,2016-07-15 00:00:00+00:00,2016-06-29 00:00:00+00:00,16.0
12288,10215191,Male,,Small,Young,8 Years 4 Months,Domestic Short Hair (short coat),Brown Tabby,,,,,False,True,,True,,,,,,6,0,2017-01-06 00:00:00+00:00,2016-12-22 00:00:00+00:00,15.0
12291,10215207,Male,,,Adult,12 Years 3 Months,Domestic Short Hair (short coat),,,,,,False,True,,True,,,,,,5,0,2016-10-08 00:00:00+00:00,2016-06-29 00:00:00+00:00,101.0
12370,10216506,Female,11.739999771118164,Medium,Adult,11 Years 5 Months,Domestic Long Hair / Mixed (long coat),,,,,,False,True,False,,,,,,,4,0,2020-06-21 00:00:00+00:00,2016-06-29 00:00:00+00:00,1453.0
12383,10216634,Male,,,Baby,,Domestic Short Hair / Mixed (short coat),,,,,,False,True,False,True,False,,,,,5,0,2016-10-08 00:00:00+00:00,2016-06-22 00:00:00+00:00,108.0
12454,1021753,Male,,,Young,14 Years 3 Months,Domestic Short Hair,,,,,,False,True,False,True,True,,,,Friendly,4,0,2008-12-06 00:00:00+00:00,2008-11-01 00:00:00+00:00,35.0
12456,10217541,Female,,Medium,Baby,8 Years 4 Months,Tabby (short coat),,,Moderate,Moderate,,False,True,False,True,True,All,,,Friendly,8,0,2016-09-02 00:00:00+00:00,2016-05-31 00:00:00+00:00,94.0
12474,1021758,Male,,,Young,14 Years 4 Months,Domestic Short Hair,,,,,,False,True,False,True,,,,,Friendly,4,0,2009-03-21 00:00:00+00:00,2008-11-01 00:00:00+00:00,140.0
12483,1021763,Female,,,Young,14 Years 3 Months,Domestic Short Hair / Tabby,,,,,,False,True,False,True,True,,,,Friendly,5,0,2009-05-25 00:00:00+00:00,2008-11-01 00:00:00+00:00,205.0
12524,1021771,Female,,Small,Adult,15 Years 7 Months,Siamese (medium coat),Seal Point,,,,,True,True,False,True,False,,,,Friendly,2,0,2009-03-09 00:00:00+00:00,2009-02-15 00:00:00+00:00,22.0
12576,10218372,Male,2.0,,Baby,10 Years,Domestic Long Hair / Maine Coon / Mixed (medium coat),,Some,Moderate,Moderate,Moderate,False,True,False,True,True,All,,Species,Friendly,2,0,2016-07-23 00:00:00+00:00,2016-07-16 00:00:00+00:00,7.0
12604,10218917,Male,,Medium,Baby,6 Years 7 Months,Domestic Short Hair (short coat),Tuxedo,,,Moderate,Moderate,False,True,False,True,,All,Has Basic Training,,,1,0,2016-09-22 00:00:00+00:00,2016-07-07 00:00:00+00:00,77.0
12605,10218920,Male,,Medium,Young,6 Years 7 Months,Domestic Short Hair (short coat),,,,Moderate,Moderate,False,True,False,True,True,All,Has Basic Training,,,2,0,2017-02-04 00:00:00+00:00,2016-07-07 00:00:00+00:00,212.0
12606,10218925,Female,,Medium,Young,9 Years 11 Months,Domestic Short Hair (short coat),,,,Moderate,Moderate,False,True,False,True,True,All,Has Basic Training,,,5,0,2017-09-29 00:00:00+00:00,2016-07-07 00:00:00+00:00,449.0
12611,10218993,Male,,Medium,Baby,9 Years 7 Months,Domestic Short Hair (short coat),,,,Moderate,Moderate,False,True,False,True,,All,Has Basic Training,,,2,0,2016-11-11 00:00:00+00:00,2016-07-01 00:00:00+00:00,133.0
12613,10218998,Female,,Medium,Baby,9 Years 7 Months,Domestic Medium Hair (short coat),Dark Calico,,,Moderate,Moderate,False,True,False,True,,All,Has Basic Training,,,2,0,2016-11-11 00:00:00+00:00,2016-07-01 00:00:00+00:00,133.0
12630,10219364,Male,4.0,,Baby,8 Years,Domestic Medium Hair (medium coat),,,,,,False,True,,True,True,,,,,4,0,2016-07-29 00:00:00+00:00,2016-07-19 00:00:00+00:00,10.0
12636,10219420,Female,4.0,,Baby,8 Years,Siamese (short coat),,,,,,False,True,False,True,True,,,,,0,0,2016-07-23 00:00:00+00:00,2016-07-23 00:00:00+00:00,0.0
12676,10220153,Female,,,Baby,10 Years,Domestic Short Hair (short coat),,Some,,Moderate,Moderate,False,True,False,True,True,All,Has Basic Training,,Friendly,2,0,2016-07-16 00:00:00+00:00,2016-07-06 00:00:00+00:00,10.0
12677,10220156,Female,,,Baby,6 Years 8 Months,Domestic Short Hair (short coat),,,,High,High,False,True,False,True,True,All,Has Basic Training,,Friendly,2,0,2016-07-10 00:00:00+00:00,2016-07-06 00:00:00+00:00,4.0
12678,10220160,Male,,,Baby,6 Years 8 Months,Domestic Short Hair (short coat),White and tabby,,,High,High,False,True,False,True,True,All,Has Basic Training,,Friendly,2,0,2016-07-09 00:00:00+00:00,2016-07-06 00:00:00+00:00,3.0
12679,10220163,Male,,,Baby,6 Years 8 Months,Domestic Short Hair (short coat),White and tabby,,,High,High,False,True,False,True,True,All,Has Basic Training,,Friendly,2,0,2016-07-09 00:00:00+00:00,2016-07-06 00:00:00+00:00,3.0
12680,10220166,Female,9.0,Medium,Adult,12 Years 6 Months,Calico / Domestic Short Hair / Mixed,,,,,,,,,True,True,,,,,2,0,2016-12-19 00:00:00+00:00,2016-06-27 00:00:00+00:00,175.0
12682,10220176,Female,8.0,Medium,Adult,12 Years 6 Months,Domestic Short Hair / Mixed,,,,,,,,,True,True,,,,,2,0,2016-12-19 00:00:00+00:00,2016-06-27 00:00:00+00:00,175.0
12685,10220237,Female,,Medium,Adult,,Domestic Short Hair (short coat),,,,,,,,,,,,,,,0,0,2016-12-30 00:00:00+00:00,2016-12-27 00:00:00+00:00,3.0
12686,10220241,Male,3.0,,Baby,8 Years 6 Months,Domestic Short Hair,,,,,,False,True,,True,True,,,,,3,0,2016-07-05 00:00:00+00:00,2016-06-30 00:00:00+00:00,5.0
12687,10220245,Female,,Medium,Adult,,Domestic Medium Hair (medium coat),torbi,,,,,,,,,,,,,,0,0,2016-07-30 00:00:00+00:00,2016-06-29 00:00:00+00:00,31.0
12689,10220251,Female,3.0,,Baby,8 Years 6 Months,Domestic Short Hair (short coat),Dilute Calico,,,,,False,True,,True,True,,,,,3,0,2016-07-05 00:00:00+00:00,2016-06-30 00:00:00+00:00,5.0
12711,10220572,Female,7.0,Medium,Adult,11 Years,Domestic Medium Hair / Mixed,,,,,,False,True,False,True,True,,,,Friendly,3,0,2016-07-08 00:00:00+00:00,2016-06-30 00:00:00+00:00,8.0
12712,1022068,Male,3.0,Small,,14 Years 3 Months,Domestic Short Hair - black,Black,,,,,,True,False,True,True,,,,Friendly,0,0,2008-12-28 00:00:00+00:00,2008-11-06 00:00:00+00:00,52.0
12713,1022071,Male,3.0,Small,,14 Years 3 Months,Tuxedo (short coat),Tuxedo,,,,,,True,False,True,True,,,,Friendly,0,0,2008-12-28 00:00:00+00:00,2008-11-06 00:00:00+00:00,52.0
12714,10220840,Female,2.5,Medium,Adult,9 Years 1 Month,Domestic Short Hair / Mixed,,,,,,False,True,False,True,True,,,,Friendly,1,0,2016-07-02 00:00:00+00:00,2016-06-30 00:00:00+00:00,2.0
12716,10221074,Female,2.5,Medium,Adult,9 Years 1 Month,Domestic Short Hair / Mixed,,,,,,False,True,False,True,True,,,,Friendly,3,0,2016-07-10 00:00:00+00:00,2016-06-30 00:00:00+00:00,10.0
12717,10221165,Male,2.5,Medium,Adult,9 Years 1 Month,Domestic Short Hair / Mixed,,,,,,False,True,False,True,True,,,,Friendly,2,0,2016-07-02 00:00:00+00:00,2016-06-30 00:00:00+00:00,2.0
12718,10221185,Female,2.0,Small,Baby,9 Years 1 Month,Dilute Tortoiseshell / Mixed,,,,,,False,True,False,True,True,,,,,3,0,2016-07-16 00:00:00+00:00,2016-06-30 00:00:00+00:00,16.0
12719,10221235,Female,2.0,Small,Baby,9 Years 1 Month,Dilute Tortoiseshell / Mixed,,,,,,False,True,False,True,True,,,,,5,0,2016-07-09 00:00:00+00:00,2016-06-30 00:00:00+00:00,9.0
12720,10221298,Male,2.0,Small,Baby,9 Years 1 Month,Domestic Short Hair / Mixed,,,,,,False,True,False,True,True,,,,,7,0,2016-07-22 00:00:00+00:00,2016-06-30 00:00:00+00:00,22.0
12722,10221386,Male,3.0,Small,Baby,9 Years 1 Month,Domestic Medium Hair / Mixed,,,,,,False,True,False,True,True,,,,,2,0,2016-07-04 00:00:00+00:00,2016-06-30 00:00:00+00:00,4.0
12724,10221398,Male,3.0,Small,Baby,9 Years 1 Month,Domestic Medium Hair / Mixed,,,,,,False,True,False,True,True,,,,,2,0,2016-07-02 00:00:00+00:00,2016-06-30 00:00:00+00:00,2.0
12727,10221428,Female,3.0,Medium,Baby,9 Years 3 Months,Tuxedo / Mixed,,,,,,False,True,False,True,True,,,,,1,0,2016-07-12 00:00:00+00:00,2016-06-30 00:00:00+00:00,12.0
12728,10221436,Male,3.0,Medium,Baby,9 Years 3 Months,Tabby / Mixed,,,,,,False,True,False,True,True,,,,Friendly,1,0,2016-08-29 00:00:00+00:00,2016-06-30 00:00:00+00:00,60.0
12730,10221442,Female,3.0,Medium,Baby,9 Years 3 Months,Tabby / Mixed,,,,,,False,True,False,True,True,,,,,4,0,2016-09-02 00:00:00+00:00,2016-06-30 00:00:00+00:00,64.0
12731,10221452,Male,3.0,Medium,Baby,9 Years 2 Months,Domestic Short Hair / Mixed,,,,,,False,True,False,True,True,,,,Friendly,1,0,2016-08-06 00:00:00+00:00,2016-06-30 00:00:00+00:00,37.0
12732,10221456,Male,3.0,Medium,Baby,9 Years 3 Months,Tuxedo / Mixed,,,,,,False,True,False,True,True,,,,,4,0,2016-08-31 00:00:00+00:00,2016-06-30 00:00:00+00:00,62.0
12733,10221458,Male,3.0,Medium,Baby,9 Years 1 Month,Domestic Short Hair / Mixed,,,,,,False,True,False,True,True,,,,,6,0,2016-10-17 00:00:00+00:00,2016-06-30 00:00:00+00:00,109.0
12734,10221461,Male,3.0,Medium,Baby,9 Years 3 Months,Domestic Short Hair / Mixed,,,,,,False,True,False,True,True,,,,,1,0,2016-07-09 00:00:00+00:00,2016-06-30 00:00:00+00:00,9.0
12735,10221462,Male,3.0,Medium,Baby,9 Years 1 Month,Domestic Short Hair / Mixed,,,,,,False,True,False,True,True,,,,,4,0,2016-11-01 00:00:00+00:00,2016-06-30 00:00:00+00:00,124.0
12777,10222540,Male,,Medium,Adult,,Domestic Short Hair (short coat),,,,,,,,,True,,,,,,1,0,2016-07-23 00:00:00+00:00,2016-07-22 00:00:00+00:00,1.0
12799,10223291,Male,,Medium,Baby,8 Years 6 Months,Domestic Short Hair (short coat),Brown Tabby & White,,Moderate,Moderate,Moderate,False,True,False,True,True,All,,,Friendly,1,0,2016-07-14 00:00:00+00:00,2016-06-23 00:00:00+00:00,21.0
12800,10223293,Male,,Medium,Baby,8 Years 6 Months,Domestic Short Hair (short coat),Brown Tabby & White,,Moderate,Moderate,Moderate,False,True,False,True,True,All,,,Friendly,1,0,2016-07-15 00:00:00+00:00,2016-06-23 00:00:00+00:00,22.0
12801,10223297,Male,8.0,Medium,Young,10 Years 5 Months,Tabby / Mixed,,,,,,False,True,False,True,True,,,,,8,0,2016-08-27 00:00:00+00:00,2016-07-01 00:00:00+00:00,57.0
12803,10223305,Male,8.0,Medium,Young,10 Years 5 Months,Tabby / Mixed,,,,,,False,True,False,True,True,,,,,13,0,2016-07-29 00:00:00+00:00,2016-07-01 00:00:00+00:00,28.0
12804,10223306,Female,,Medium,Baby,8 Years 6 Months,Domestic Short Hair (short coat),Brown Spotted Tabby & White,,Moderate,Moderate,Moderate,False,True,False,True,True,All,,,Friendly,1,0,2016-07-21 00:00:00+00:00,2016-06-23 00:00:00+00:00,28.0
12805,10223308,Male,,Medium,Baby,8 Years 6 Months,Domestic Short Hair (short coat),White with Black Spots,,Moderate,Moderate,Moderate,False,True,False,True,True,All,,,Friendly,1,0,2016-07-27 00:00:00+00:00,2016-06-23 00:00:00+00:00,34.0
12832,10223709,Female,,,Baby,8 Years 5 Months,Maine Coon,,,,,,False,True,,True,,,,,,3,0,2016-07-26 00:00:00+00:00,2016-07-09 00:00:00+00:00,17.0
12833,10223717,Female,,,Baby,8 Years 5 Months,Maine Coon,,,,,,False,True,,True,,,,,,1,0,2016-07-15 00:00:00+00:00,2016-07-09 00:00:00+00:00,6.0
12834,10223724,Female,,,Baby,8 Years 4 Months,Domestic Short Hair / Mixed,,,,,,False,True,,True,,,,,,3,1,2016-07-25 00:00:00+00:00,2016-07-09 00:00:00+00:00,16.0
12860,10224491,Female,,,Young,6 Years 7 Months,Tuxedo / Mixed (short coat),,,,,,False,True,False,True,False,,,,,8,0,2017-07-08 00:00:00+00:00,2017-04-04 00:00:00+00:00,95.0
12926,10226005,Male,,,,6 Years 10 Months,Tuxedo / Mixed (short coat),,,,,,False,True,,True,True,,,,,1,0,2016-06-25 00:00:00+00:00,2016-06-24 00:00:00+00:00,1.0
12929,10226009,Female,,,,6 Years 10 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,,True,True,,,,,1,0,2016-06-25 00:00:00+00:00,2016-06-24 00:00:00+00:00,1.0
12930,10226017,Male,,,,6 Years 10 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,,True,True,,,,,1,0,2016-06-25 00:00:00+00:00,2016-06-24 00:00:00+00:00,1.0
12934,10226029,Male,,,,6 Years 10 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,,True,True,,,,,1,0,2016-06-25 00:00:00+00:00,2016-06-24 00:00:00+00:00,1.0
12938,10226058,Female,,,,6 Years 10 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,,True,True,,,,,1,0,2016-06-25 00:00:00+00:00,2016-06-24 00:00:00+00:00,1.0
12940,10226073,Female,,,,6 Years 10 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,,True,True,,,,,1,0,2016-06-25 00:00:00+00:00,2016-06-24 00:00:00+00:00,1.0
12946,10226113,Male,,,,6 Years 11 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,,True,True,,,,,1,0,2016-06-25 00:00:00+00:00,2016-06-24 00:00:00+00:00,1.0
12947,10226118,Male,,,,6 Years 11 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,,True,True,,,,,1,0,2016-06-25 00:00:00+00:00,2016-06-24 00:00:00+00:00,1.0
12948,10226124,Female,,,,7 Years 4 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,,True,True,,,,,1,0,2016-06-25 00:00:00+00:00,2016-06-24 00:00:00+00:00,1.0
12950,10226147,Female,,,,6 Years 11 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,,True,False,,,,,2,0,2020-06-04 00:00:00+00:00,2016-07-01 00:00:00+00:00,1434.0
12951,10226149,Female,,,,6 Years 11 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,,True,True,,,,,3,0,2016-10-08 00:00:00+00:00,2016-07-02 00:00:00+00:00,98.0
12952,10226151,Female,,,,6 Years 11 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,,True,True,,,,,1,0,2016-07-02 00:00:00+00:00,2016-07-02 00:00:00+00:00,0.0
12953,10226154,Female,,,,6 Years 11 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,,True,True,,,,,1,0,2016-07-24 00:00:00+00:00,2016-07-02 00:00:00+00:00,22.0
12954,10226155,Male,,,,6 Years 11 Months,Domestic Short Hair / Mixed (short coat),,,,,,False,True,,True,True,,,,,1,0,2016-07-24 00:00:00+00:00,2016-07-02 00:00:00+00:00,22.0
12966,10226519,Male,5.0,,Young,9 Years,Domestic Short Hair (medium coat),White ear tufts,,Moderate,Moderate,,False,True,False,,True,All,,Species,Friendly,2,0,2017-01-28 00:00:00+00:00,2016-07-29 00:00:00+00:00,183.0
12967,10226522,Male,0.5,,Young,9 Years,Domestic Short Hair (medium coat),With white ear tufts,,,Moderate,,False,,False,,True,All,,Species,Friendly,1,0,2017-01-28 00:00:00+00:00,2016-07-29 00:00:00+00:00,183.0
12968,10226526,Female,0.5,,Young,9 Years,Tortoiseshell / Domestic Short Hair (short coat),"Black, orange, white",,Moderate,Moderate,,False,True,False,,True,All,,Species,Friendly,1,0,2016-08-11 00:00:00+00:00,2016-07-29 00:00:00+00:00,13.0
12969,10226528,Female,0.5,,Young,9 Years,Domestic Medium Hair / Tortoiseshell (medium coat),"Black, orange, white",,Moderate,Moderate,,False,,False,,True,All,,Species,Friendly,4,0,2016-09-10 00:00:00+00:00,2016-07-29 00:00:00+00:00,43.0
12970,10226563,Male,,Medium,Young,7 Years 5 Months,Domestic Short Hair / Tabby / Mixed (short coat),Yellow,Quiet,Moderate,Moderate,Low,False,True,False,True,True,All,,,Friendly,1,0,2016-08-04 00:00:00+00:00,2016-06-24 00:00:00+00:00,41.0
12971,10226564,Female,2.0,,Baby,9 Years 4 Months,Domestic Short Hair (short coat),Brown Tabby & White,,,High,High,False,True,False,True,,All,Has Basic Training,,Friendly,2,0,2016-07-16 00:00:00+00:00,2016-06-25 00:00:00+00:00,21.0
12972,10226566,Male,20.399999618530277,,Adult,9 Years 11 Months,Maine Coon / Domestic Long Hair (medium coat),,,,,,False,True,True,True,True,,,,,4,1,2016-07-19 00:00:00+00:00,2016-07-12 00:00:00+00:00,7.0
12979,10226639,Female,17.0,,Adult,9 Years 11 Months,Maine Coon / Domestic Long Hair (long coat),,,,,,False,True,True,True,True,,,,,4,1,2016-07-19 00:00:00+00:00,2016-07-12 00:00:00+00:00,7.0
13017,10226863,Female,,Small,Baby,,Domestic Short Hair (medium coat),,,,,,,,,,,,,,,2,0,2016-07-05 00:00:00+00:00,2016-07-02 00:00:00+00:00,3.0
13035,10226949,Male,,Small,Baby,,Domestic Medium Hair (medium coat),,,,,,,,,,,,,,,1,0,2016-07-08 00:00:00+00:00,2016-07-02 00:00:00+00:00,6.0
13036,10226974,Female,,Small,Baby,,Domestic Medium Hair (medium coat),Torbie,,,,,,,,,,,,,,1,0,2016-07-06 00:00:00+00:00,2016-07-02 00:00:00+00:00,4.0
13052,10227512,Male,,,Baby,6 Years 8 Months,Domestic Short Hair (short coat),,,,,,False,,False,True,True,,,,Friendly,1,0,2016-07-16 00:00:00+00:00,2016-07-02 00:00:00+00:00,14.0
13054,10227522,Female,,,Baby,6 Years 8 Months,Domestic Short Hair (short coat),,,,,,False,,False,True,True,,,,,1,0,2016-07-16 00:00:00+00:00,2016-07-02 00:00:00+00:00,14.0
13056,10227601,Female,,,Young,6 Years 1 Month,Domestic Short Hair (short coat),,,,,,False,True,False,True,True,,,,,2,0,2016-07-16 00:00:00+00:00,2016-06-24 00:00:00+00:00,22.0
13108,10229140,Male,3.0,Medium,Baby,6 Years 7 Months,Domestic Short Hair / Tabby / Mixed (short coat),,,Moderate,,,False,True,False,True,True,All,,,Friendly,0,0,2016-07-07 00:00:00+00:00,2016-07-02 00:00:00+00:00,5.0
13137,10229303,Male,,Small,Baby,6 Years 8 Months,Domestic Short Hair / Tabby / Mixed (short coat),Silver Tabby,,,,,False,True,False,True,,,,,,3,0,2016-09-03 00:00:00+00:00,2016-07-02 00:00:00+00:00,63.0
13141,10229309,Female,,Small,Baby,6 Years 8 Months,Domestic Short Hair / Mixed (short coat),Black,,,,,False,True,False,True,,,,,,2,0,2016-08-06 00:00:00+00:00,2016-07-02 00:00:00+00:00,35.0
13149,10229329,Male,,Small,Baby,6 Years 8 Months,Domestic Short Hair / Mixed (short coat),Black,,,,,False,True,False,True,True,,,,,4,0,2016-10-05 00:00:00+00:00,2016-07-02 00:00:00+00:00,95.0
13150,10229330,Male,,Small,Baby,6 Years 8 Months,Domestic Short Hair / Mixed (short coat),Black,,,,,False,True,False,True,True,,,,,4,0,2016-11-08 00:00:00+00:00,2016-07-02 00:00:00+00:00,129.0
13151,10229331,Female,10.0,Medium,Adult,7 Years 7 Months,Domestic Short Hair / Tortoiseshell / Mixed (short coat),Tortoiseshell,Some,Moderate,Moderate,Moderate,False,True,False,True,True,All,,,Friendly,4,0,2016-08-27 00:00:00+00:00,2016-07-02 00:00:00+00:00,56.0
13190,10231100,Female,,Medium,Senior,19 Years 7 Months,Domestic Long Hair (medium coat),,,Moderate,Low,Low,False,True,True,True,True,All,,,Friendly,4,0,2017-02-08 00:00:00+00:00,2016-06-03 00:00:00+00:00,250.0
13209,10231841,Male,,Medium,Baby,9 Years 7 Months,Domestic Short Hair / Tabby / Mixed (short coat),"Some White, Light Orange",Quiet,Moderate,Moderate,Moderate,False,,False,False,True,All,,,Friendly,1,0,2016-07-31 00:00:00+00:00,2016-07-03 00:00:00+00:00,28.0
13210,10231844,Male,,Medium,Baby,9 Years 7 Months,Domestic Short Hair / Tabby / Mixed (short coat),"Some White, Darker Orange",Quiet,Moderate,Moderate,Moderate,False,,False,False,True,All,,,Friendly,1,0,2016-07-13 00:00:00+00:00,2016-07-03 00:00:00+00:00,10.0
13211,10231848,Female,,Medium,Baby,9 Years 7 Months,Domestic Short Hair / Tuxedo / Mixed (short coat),Black and White,Quiet,Moderate,Moderate,Moderate,False,,False,False,True,All,,,Friendly,1,0,2016-07-27 00:00:00+00:00,2016-07-03 00:00:00+00:00,24.0
13212,10231849,Female,,Medium,Baby,9 Years 7 Months,Domestic Short Hair / Tortoiseshell / Mixed (short coat),Mostly Black with Orange mixed in,Quiet,Moderate,Moderate,Moderate,False,,False,False,True,All,,,Friendly,1,0,2016-07-25 00:00:00+00:00,2016-07-03 00:00:00+00:00,22.0
13217,102321,Male,10.600000381469728,,Adult,16 Years 8 Months,Domestic Short Hair,,,,,,False,True,False,True,,,,,,3,0,2011-09-17 00:00:00+00:00,2011-08-31 00:00:00+00:00,17.0
13220,10232198,Female,2.0,Small,Baby,6 Years 6 Months,Domestic Short Hair / Mixed (short coat),,,,Moderate,Moderate,,True,,True,,All,,,Friendly,6,0,2016-12-11 00:00:00+00:00,2016-07-16 00:00:00+00:00,148.0
13224,10232241,Male,,Medium,Baby,6 Years 7 Months,Domestic Short Hair / Mixed (short coat),,Some,,Moderate,Moderate,,True,,True,True,All,,,Friendly,4,0,2019-01-26 00:00:00+00:00,2018-12-20 00:00:00+00:00,37.0
13231,10232278,Female,,Medium,Adult,7 Years 7 Months,Domestic Short Hair (short coat),,,,Moderate,Moderate,,True,,True,,All,,,Friendly,3,0,2017-08-13 00:00:00+00:00,2016-07-03 00:00:00+00:00,406.0
13237,10232323,Female,,Medium,Adult,17 Years 4 Months,Domestic Short Hair (short coat),,,Moderate,Moderate,Moderate,False,True,False,True,True,All,,,Friendly,4,0,2016-09-17 00:00:00+00:00,2016-06-18 00:00:00+00:00,91.0
