,id,sex,sizeCurrent,sizeGroup,ageGroup,ageString,breedString,colorDetails,vocalLevel,sheddingLevel,energyLevel,exerciseNeeds,isSpecialNeeds,isCurrentVaccinations,isDeclawed,isHousetrained,isKidsOk,adultSexesOk,obedienceTraining,ownerExperience,newPeopleReaction,pictureCount,videoCount,adoptedDate,availableDate,length_of_stay
43771,10833710,Male,,Medium,Young,7 Years 10 Months,Siamese / Mixed (short coat),,,,,Not Required,False,True,False,True,False,All,Has Basic Training,,Friendly,2,0,2016-12-20 00:00:00+00:00,2016-11-28 00:00:00+00:00,22.0
43784,10833862,Female,,,Young,7 Years 10 Months,Domestic Short Hair / Mixed (short coat),,Some,,Moderate,Not Required,False,True,False,True,True,All,Has Basic Training,,Friendly,3,0,2016-12-03 00:00:00+00:00,2016-11-28 00:00:00+00:00,5.0
43796,10834229,Female,6.0,Medium,Young,6 Years 10 Months,Calico / Mixed (short coat),"White, Black, Orange",,,,,False,True,False,True,True,,,,,1,0,2016-12-31 00:00:00+00:00,2016-12-31 00:00:00+00:00,0.0
43809,10834352,Female,3.0,Small,Young,6 Years 1 Month,Siamese / Mixed (medium coat),,Some,Moderate,Moderate,Not Required,False,True,False,True,True,All,,,,4,0,2017-01-01 00:00:00+00:00,2016-12-29 00:00:00+00:00,3.0
43834,10834536,Female,,,Adult,12 Years 10 Months,Calico (short coat),,Quiet,Moderate,Moderate,,False,True,False,True,,All,,,,2,0,2017-03-23 00:00:00+00:00,2016-11-28 00:00:00+00:00,115.0
43852,10834682,Male,,Medium,Adult,11 Years 3 Months,Domestic Short Hair / Mixed (short coat),Dark Gray,,,,,False,True,False,True,,,,,,2,0,2017-01-29 00:00:00+00:00,2017-01-13 00:00:00+00:00,16.0
43855,10834692,Female,,,Baby,8 Years 1 Month,Domestic Short Hair / Mixed (short coat),black and gray tiger,,,,,False,True,False,True,,,,,,3,0,2017-03-06 00:00:00+00:00,2016-11-29 00:00:00+00:00,97.0
43860,10834748,Female,8.0,Small,Young,9 Years 10 Months,Russian Blue / Domestic Medium Hair / Mixed (medium coat),Gray,,,,,False,True,False,True,True,,,,,2,0,2016-12-16 00:00:00+00:00,2016-11-28 00:00:00+00:00,18.0
43866,10834931,Male,,,Young,8 Years 3 Months,Domestic Short Hair (short coat),Brown Tabby,,,,,False,True,,True,,,,,,4,0,2016-12-11 00:00:00+00:00,2016-11-29 00:00:00+00:00,12.0
43874,10835020,Male,,Small,Young,8 Years 1 Month,Domestic Short Hair (short coat),Gray Tabby,,,,,False,True,,True,,,,,,2,0,2016-12-10 00:00:00+00:00,2016-11-29 00:00:00+00:00,11.0
43884,10835344,Male,,,Young,,Domestic Short Hair / Mixed (short coat),,,,Moderate,,,True,,True,True,All,Has Basic Training,,Friendly,2,0,2017-01-28 00:00:00+00:00,2016-11-29 00:00:00+00:00,60.0
43885,10835353,Male,,Medium,Young,8 Years 1 Month,Domestic Short Hair / Mixed (short coat),,,,,Not Required,False,True,False,True,True,All,Has Basic Training,,,1,0,2017-01-28 00:00:00+00:00,2016-11-29 00:00:00+00:00,60.0
43898,10835852,Male,,Medium,Young,8 Years 3 Months,Domestic Short Hair / Mixed (short coat),,,,High,Not Required,False,True,False,True,True,All,Has Basic Training,,,1,0,2017-01-28 00:00:00+00:00,2016-11-29 00:00:00+00:00,60.0
43910,10836168,Female,,,Young,8 Years,Domestic Short Hair / Mixed (short coat),,,,Moderate,Not Required,False,,False,True,,,Has Basic Training,,,1,0,2018-02-06 00:00:00+00:00,2016-11-29 00:00:00+00:00,434.0
43941,10836665,Female,,Small,Adult,7 Years 5 Months,Calico / Dilute Calico (short coat),Dilute Calico,,,Moderate,,,True,,True,False,,,,Cautious,6,0,2018-07-31 00:00:00+00:00,2018-03-16 00:00:00+00:00,137.0
43951,10836751,Male,,,Adult,9 Years,Domestic Short Hair,,,,,,True,True,True,True,,,,,,18,0,2018-02-04 00:00:00+00:00,2016-11-30 00:00:00+00:00,431.0
43953,10836784,Male,,,Young,8 Years,Siamese / Mixed (short coat),,,,,,False,True,False,True,True,All,,,Friendly,1,0,2016-11-30 00:00:00+00:00,2016-11-29 00:00:00+00:00,1.0
43956,10836791,Female,,Medium,Adult,8 Years 2 Months,Domestic Short Hair / Mixed,,,,Moderate,Not Required,False,True,False,True,True,All,Has Basic Training,,Friendly,1,0,2017-01-28 00:00:00+00:00,2016-11-29 00:00:00+00:00,60.0
43962,10837191,Female,,Medium,Baby,6 Years 5 Months,Tabby (short coat),,Quiet,Moderate,Moderate,Moderate,False,True,False,True,,All,Has Basic Training,Species,Cautious,3,0,2017-04-13 00:00:00+00:00,2016-11-04 00:00:00+00:00,160.0
